variable_id,output_frequency,shape,priority,dimension,file_size_MB,experiment_id
alpha,monthly,XYT,3,2D,121.3,A
alpha,monthly,XYT,3,2D,121.3,B
alpha,monthly,XYT,3,2D,121.3,C
alpha,monthly,XYT,3,2D,121.3,D
area,NA,NA,NA,NA,0.3,ancillary
Area_tot_native,NA,NA,NA,NA,0,ancillary
Atm_CO2,NA,NA,NA,NA,0,ancillary
chlos,monthly,XYT,1,2D,121.3,A
chlos,monthly,XYT,1,2D,121.3,B
chlos,monthly,XYT,1,2D,121.3,C
chlos,monthly,XYT,1,2D,121.3,D
dfeos,monthly,XYT,2,2D,121.3,A
dfeos,monthly,XYT,2,2D,121.3,B
dfeos,monthly,XYT,2,2D,121.3,C
dfeos,monthly,XYT,2,2D,121.3,D
dissic,annual,XYZT,1,3D,606.5,A
dissic,annual,XYZT,1,3D,606.5,B
dissic,annual,XYZT,1,3D,606.5,C
dissic,annual,XYZT,1,3D,606.5,D
dissicos,monthly,XYT,1,2D,121.3,A
dissicos,monthly,XYT,1,2D,121.3,B
dissicos,monthly,XYT,1,2D,121.3,C
dissicos,monthly,XYT,1,2D,121.3,D
epc,annual,XYZT,1,3D,606.5,A
epc,annual,XYZT,1,3D,606.5,B
epc,annual,XYZT,1,3D,606.5,C
epc,annual,XYZT,1,3D,606.5,D
epc100,monthly,XYT,1,2D,121.3,A
epc100,monthly,XYT,1,2D,121.3,B
epc100,monthly,XYT,1,2D,121.3,C
epc100,monthly,XYT,1,2D,121.3,D
epc1000,monthly,XYT,2,2D,121.3,A
epc1000,monthly,XYT,2,2D,121.3,B
epc1000,monthly,XYT,2,2D,121.3,C
epc1000,monthly,XYT,2,2D,121.3,D
epc1000hard,monthly,XYT,2,2D,121.3,A
epc1000hard,monthly,XYT,2,2D,121.3,B
epc1000hard,monthly,XYT,2,2D,121.3,C
epc1000hard,monthly,XYT,2,2D,121.3,D
epc1000soft,monthly,XYT,2,2D,121.3,A
epc1000soft,monthly,XYT,2,2D,121.3,B
epc1000soft,monthly,XYT,2,2D,121.3,C
epc1000soft,monthly,XYT,2,2D,121.3,D
epc100hard,monthly,XYT,2,2D,121.3,A
epc100hard,monthly,XYT,2,2D,121.3,B
epc100hard,monthly,XYT,2,2D,121.3,C
epc100hard,monthly,XYT,2,2D,121.3,D
epc100soft,monthly,XYT,2,2D,121.3,A
epc100soft,monthly,XYT,2,2D,121.3,B
epc100soft,monthly,XYT,2,2D,121.3,C
epc100soft,monthly,XYT,2,2D,121.3,D
